/docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
/docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
/docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
10-listen-on-ipv6-by-default.sh: info: Getting the checksum of /etc/nginx/conf.d/default.conf
10-listen-on-ipv6-by-default.sh: info: /etc/nginx/conf.d/default.conf differs from the packaged version
/docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
/docker-entrypoint.sh: Configuration complete; ready for start up
2024/11/06 20:44:43 [notice] 19#19: using the "epoll" event method
2024/11/06 20:44:43 [notice] 19#19: nginx/1.27.2
2024/11/06 20:44:43 [notice] 19#19: built by gcc 13.2.1 20240309 (Alpine 13.2.1_git20240309) 
2024/11/06 20:44:43 [notice] 19#19: OS: Linux 5.10.102.2-microsoft-standard
2024/11/06 20:44:43 [notice] 19#19: getrlimit(RLIMIT_NOFILE): 1024:1048576
2024/11/06 20:44:43 [notice] 19#19: start worker processes
2024/11/06 20:44:43 [notice] 19#19: start worker process 46
10.92.0.10 - - [07/Nov/2024:01:38:25 +0000] "GET / HTTP/1.1" 200 459 "-" "Mozilla/5.0 zgrab/0.x" "-"
10.92.0.10 - - [07/Nov/2024:01:38:58 +0000] "GET / HTTP/1.0" 200 459 "-" "Mozilla/5.0 (Linux; U; Android 4.0.3; ko-kr; LG-L160L Build/IML74K) AppleWebkit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30" "-"
10.92.0.9 - - [07/Nov/2024:01:41:55 +0000] "GET / HTTP/1.0" 200 459 "-" "Mozilla/5.0 (Linux; U; Android 4.0.3; ko-kr; LG-L160L Build/IML74K) AppleWebkit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30" "-"
10.92.0.9 - - [07/Nov/2024:01:44:11 +0000] "GET http://ifconfig.me/all.json HTTP/1.1" 200 459 "-" "Go-http-client/1.1" "-"
10.92.0.10 - - [07/Nov/2024:01:54:54 +0000] "\x16\x03\x02\x01o\x01\x00\x01k\x03\x02RH\xC5\x1A#\xF7:N\xDF\xE2\xB4\x82/\xFF\x09T\x9F\xA7\xC4y\xB0h\xC6\x13\x8C\xA4\x1C=\x22\xE1\x1A\x98 \x84\xB4,\x85\xAFn\xE3Y\xBBbhl\xFF(=':\xA9\x82\xD9o\xC8\xA2\xD7\x93\x98\xB4\xEF\x80\xE5\xB9\x90\x00(\xC0" 400 157 "-" "-" "-"
10.92.0.9 - - [07/Nov/2024:02:11:41 +0000] "GET /cgi-bin/luci/;stok=/locale HTTP/1.1" 200 459 "-" "-" "-"
10.92.0.9 - - [07/Nov/2024:02:18:01 +0000] "\x16\x03\x01\x00\xEE\x01\x00\x00\xEA\x03\x03\x18\xD0\x10\x05\xFA\x86\x8F\xE9Y\x7F\xDB7\xCAI\xC8k\xE2\xDD,\x04\x98\xC5\xC6\xE1\xCE\xDB\x8DC\x0C\x11wp \xB4Ot\x9C\xDE\xEF\xCB\xAF\xAD\xA4\x04\xA2CO\xCF\xDA!K<\x8C\x0EP\x08\xE0[\x1A\x1Af\xEC\xA4\x10\xD4\x00&\xC0+\xC0/\xC0,\xC00\xCC\xA9\xCC\xA8\xC0\x09\xC0\x13\xC0" 400 157 "-" "-" "-"
10.92.0.9 - - [07/Nov/2024:02:28:17 +0000] "GET / HTTP/1.1" 200 459 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36" "-"
10.92.0.9 - - [07/Nov/2024:02:30:05 +0000] "GET /cdn-cgi/trace HTTP/1.1" 200 459 "-" "Mozilla/5.0" "-"
10.92.0.9 - - [07/Nov/2024:02:30:12 +0000] "\x16\x03\x01\x01\x0B\x01\x00\x01\x07\x03\x03\x95\x5C\xAFy\xEE\x03\x18{\x0E\xC3\x80\xEC\xC6\x7F\x95\xCA\xFC\xFE\x09\xBBD\x83\x8EsK`b\x99A\x92}\x08 P\xFA\xE64~u" 400 157 "-" "-" "-"
10.92.0.10 - - [07/Nov/2024:02:32:13 +0000] "GET /?XDEBUG_SESSION_START=phpstorm HTTP/1.1" 200 459 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-"
10.92.0.10 - - [07/Nov/2024:02:33:06 +0000] "GET /.env HTTP/1.1" 200 459 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; MASEJS; rv:11.0) like Gecko" "-"
